Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,,,,,,,,,,,,,,,,,,,,,,,22.203,23.116,24.019,24.861,25.631,26.617,27.294,28.004,28.803,29.709,30.697,31.732,32.758,33.736,34.656,35.53,36.373,37.209,38.055,38.93,39.826,40.742,41.679,42.637,Asia
General government revenue,,,,,,,,,,,,,,,,,,,,,,,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,437.848,411.943,468.923,540.517,575.625,611.388,Asia
General government revenue,,,,,,,,,,,,,,,,,,,,,,,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,29.868,25.783,26.921,28.553,28.111,27.602,Asia
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,478.785,446.653,490.051,549.596,590.034,630.838,Asia
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,32.661,27.955,28.134,29.033,28.815,28.48,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.09,-10.803,6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,-40.936,-34.711,-21.128,-9.079,-14.409,-19.45,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.793,-2.172,-1.213,-0.48,-0.704,-0.878,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,-5.891,-2.797,2.364,-10.524,-19.994,-10.691,6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,-40.322,-34.083,-20.066,-7.394,-11.975,-16.178,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.751,-2.133,-1.152,-0.391,-0.585,-0.73,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,618.456,595.36,603.134,629.234,79.485,86.083,98.622,98.658,54.854,62.803,69.947,77.2,102.928,112.281,103.181,102.807,98.042,90.092,115.049,142.295,164.128,187.598,212.424,240.961,Asia
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.707,7.51,6.767,6.912,8.7,9.154,8.437,7.998,7.384,6.13,7.848,8.906,9.423,9.91,10.374,10.879,Asia
Current account balance,,,,,,,,,,,,,,,,,,,,,,,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.353,0.768,1.623,1.434,2.237,2.209,1.802,1.531,1.65,1.687,1.707,1.709,Asia
Current account balance,,,,,,,,,,,,,,,,,,,,,,,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.557,3.796,9.018,7.586,12.158,11.705,9.481,7.775,7.924,7.658,7.366,7.013,Asia
GDP,2157.741,2447.005,2617.639,2692.366,2786.071,2773.464,2930.535,2920.091,2925.035,3249.096,2979.534,2231.23,2130.653,2405.154,2703.97,3024.994,3381.652,3083.401,3414.84,3935.549,4330.519,4837.702,5152.605,5559.207,6048.929,6615.812,7264.04,7965.456,8796.657,9222.982,9724.481,10207.743,10526.271,10570.982,11259.261,11661.999,12077.602,13088.307,13982.669,14534.109,13651.341,14826.862,15994.139,17013.143,17966.645,18976.671,Europe
Implied PPP conversion rate,3.207,2.867,2.703,2.599,2.428,2.44,2.336,2.28,2.202,2.119,2.043,2.678,9.156,19.214,25.778,27.732,31.21,34.131,36.023,36.257,37.467,38.06,38.834,40.108,40.288,40.363,40.148,40.813,41.682,42.367,43.761,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.812,40.242,40.144,39.885,39.996,40.233,40.613,40.983,Europe
Total investment,4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.34,22.752,22.614,24.087,25.151,24.824,24.572,24.93,Europe
Gross national savings,27.121,39.852,41.023,44.479,46.845,40.83,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.129,14.887,11.02,14.993,16.197,15.896,15.748,16.229,Europe
"Inflation, average consumer prices",,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.282,103.295,105.39,106.878,108.38,110.195,112.785,115.807,119.2,122.776,Europe
"Inflation, average consumer prices",,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.282,1.987,2.029,1.411,1.405,1.675,2.35,2.68,2.93,3,Europe
"Inflation, end of period consumer prices",,,,,,,,,,3.391,3.391,6.919,23.289,30.495,35.318,37.443,43.959,62.453,67.878,67.179,70.004,72.474,73.692,76.123,77.8,79.385,81.38,83.843,85.7,88.7,91.8,93.4,95.7,97.4,98.1,100,102.176,104.014,105.885,107.103,108.334,110.718,113.486,116.731,120.233,123.84,Europe
"Inflation, end of period consumer prices",,,,,,,,,,,--,104.047,236.58,30.941,15.818,6.015,17.402,42.073,8.686,-1.029,4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.176,1.798,1.799,1.15,1.15,2.2,2.5,2.86,3,3,Europe
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Volume of imports of goods and services,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.343,18.929,3.513,-2.25,-9.309,3.622,-7.603,-0.609,5.419,0.075,8.3,5.994,5.766,4.721,-21.846,12.285,11.071,12.832,4.355,4.669,Europe
Volume of Imports of goods,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,0,--,-10.186,31.411,30.279,-14.3,33.181,6.066,7.733,21.067,9.912,7.108,21.209,-0.734,-2.615,-10.942,3.788,-5.191,-1.303,6.113,2.169,9.436,4.331,4.233,3.461,-25.27,12.13,13.633,15.794,3.954,4.711,Europe
Volume of exports of goods and services,0,0,0,0,0,0,0,0,--,--,0,--,0,0,0,--,--,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.57,16.986,-7.632,3.321,10.468,1.005,-0.41,8.286,3.312,5.272,10.402,10.101,3.467,1.699,-35.342,36.824,14.034,12.66,3.693,4.05,Europe
Volume of exports of goods,0,0,0,0,0,0,0,0,--,--,0,0,0,0,--,--,--,-13.472,33.237,25.413,-7.088,23.048,8.253,25.15,24.013,2.948,5.256,19.958,-55.035,-15.636,60.923,12.187,23.249,26.697,-6.215,4.356,-0.285,-1.647,14.139,-8.454,-5.733,12.205,15.316,14.174,4.383,3.92,Europe
Unemployment rate,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.5,11.8,11.5,11.3,11,11,11,Europe
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Population,2.672,2.726,2.784,2.844,2.904,2.965,3.023,3.084,3.142,3.228,3.287,3.267,3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.873,2.866,2.87,2.865,2.861,2.856,2.851,2.847,2.842,Europe
General government revenue,,,,,,,,,,,,,,,,,,60.956,103.238,125.387,130.642,145.639,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,377.545,403.131,430.397,449.389,460.314,384.224,452.459,494.724,527.91,558.561,592.1,Europe
General government revenue,,,,,,,,,,,,,,,,,,18.398,26.826,28.266,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.977,26.272,26.322,27.378,27.756,27.474,27.425,24.471,26.747,27.078,27.047,26.889,26.785,Europe
General government total expenditure,,,,,,,,,,,,,,,,,,100.391,141.437,164.607,169.596,184.163,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,435.698,429.073,451.989,471.407,493.165,516.462,532.35,541.995,567.816,600.047,634.791,Europe
General government total expenditure,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.377,29.139,29.148,28.82,29.383,32.893,31.469,29.666,29.092,28.886,28.716,Europe
General government net lending/borrowing,,,,,,,,,,,,,,,,,,-39.434,-38.198,-39.22,-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-58.153,-25.941,-21.592,-22.018,-32.851,-132.238,-79.891,-47.272,-39.906,-41.486,-42.691,Europe
General government net lending/borrowing,,,,,,,,,,,,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.054,-1.762,-1.392,-1.346,-1.957,-8.422,-4.723,-2.587,-2.045,-1.997,-1.931,Europe
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,-21.284,-3.32,-5.006,-9.381,-14.904,-13.159,-4.105,-9.66,-1.777,-3.474,-5.166,-21.476,-39.044,-2.033,-4.611,-4.359,-27.073,-36.074,-19.51,10.318,10.312,14.495,2.291,-98.591,-43.622,-8.499,0.543,-0.611,0.126,Europe
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.36,0.701,0.665,0.886,0.137,-6.279,-2.579,-0.465,0.028,-0.029,0.006,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.42,807.38,921.361,914.43,986.827,1003.785,988.923,983.326,1000.201,1182.219,1281.922,1281.326,1315.447,1350.748,1386.36,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.158,60.577,68.246,65.536,68.802,68.17,63.775,60.116,59.591,75.294,75.779,70.132,67.397,65.024,62.715,Europe
General government gross debt,,,,,,,,,,,,,,,,,,239.197,273.949,302.454,319.608,341.522,391.308,408.3,423.962,468.05,494.737,517.043,595.883,682.547,715.517,772.735,828.268,950.316,1004.512,1057.318,1079.687,1114.832,1136.963,1137.099,1307.735,1407.477,1408.609,1459.965,1493.891,1528.582,Europe
General government gross debt,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.509,67.748,83.288,83.201,77.099,74.801,71.915,69.149,Europe
Current account balance,0.001,-0.01,-0.052,-0.037,-0.03,-0.027,0.001,0.007,-0.025,-0.075,-0.096,-0.165,-0.069,0.024,-0.087,-0.057,-0.253,-0.295,-0.178,-0.062,-0.246,-0.248,-0.443,-0.432,-0.42,-0.733,-0.592,-1.13,-2.031,-1.853,-1.351,-1.666,-1.257,-1.183,-1.43,-0.981,-0.898,-0.978,-1.024,-1.166,-1.642,-1.255,-1.304,-1.407,-1.467,-1.505,Europe
Current account balance,0.054,-0.455,-2.264,-1.583,-1.316,-1.158,0.057,0.265,-0.986,-2.691,-4.313,-12.368,-8.185,1.674,-3.706,-1.968,-7.894,-13.047,-6.944,-1.946,-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.758,-7.632,-11.697,-8.501,-8.085,-7.934,-7.781,-7.505,Europe
GDP,4817.002,5267.253,5765.501,6114.143,6481.329,6734.752,6676.158,6619.203,6527.173,6935.998,7159.802,7136.03,7238.179,7085.848,7014.99,7288.159,7567.176,7653.996,8007.337,8254.767,8604.628,8926.056,9434.834,10149.78,10709.656,11520.72,11889.825,12432.051,12698.063,12754.1,13105.459,13480.048,13263.91,13003.307,12940,11944.989,11543.303,11458.757,11658.67,11728.695,11040.555,11435.373,11734.376,11888.556,12050.854,12219.344,Africa
Implied PPP conversion rate,1.807,1.889,1.813,1.863,1.923,1.95,1.949,2.019,2.21,2.463,3.095,4.711,5.652,6.243,7.711,9.804,11.889,12.506,11.98,13.132,15.709,15.299,15.26,16.23,17.74,19.978,21.44,22.22,25.143,22.16,25.432,29.476,32.593,33.43,34.04,35.011,37.156,38.856,40.812,39.666,37.414,38.939,40.143,41.549,43.109,44.955,Africa
Total investment,32.586,30.83,31.091,31.329,29.229,27.682,27.919,25.041,23.504,30.518,24.097,29.412,27.6,24.06,29.485,30.17,26.473,22.44,27.146,28.717,25.014,26.754,30.804,30.337,33.305,31.373,29.873,34.315,37.382,46.967,42.364,38.521,41.303,44.989,47.522,52.872,53.936,50.888,49.385,42.658,37.5,42.481,43.071,42.294,42.597,42.805,Africa
Gross national savings,30.432,28.024,26.014,26.789,31.868,31.733,24.115,24.526,20.168,20.33,26.278,34.533,30.221,25.65,25.151,24.852,29.131,29.601,25.258,28.758,41.713,39.65,38.484,43.316,46.333,51.861,54.575,56.964,57.494,47.259,49.869,48.46,47.18,45.376,43.098,36.416,37.379,37.701,39.802,32.548,26.696,25.866,29.019,28.744,29.925,30.628,Africa
"Inflation, average consumer prices",8.975,10.286,10.964,11.823,12.569,13.88,15.824,16.751,17.746,19.373,21.17,26.652,35.101,42.297,54.563,70.823,84.067,88.859,93.258,95.682,95.969,100,101.43,105.75,109.95,111.47,114.05,118.24,123.98,131.1,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,206.2,213.417,221.527,231.496,243.533,257.902,275.955,Africa
"Inflation, average consumer prices",9.668,14.61,6.593,7.835,6.31,10.432,14.007,5.857,5.938,9.172,9.272,25.9,31.7,20.5,29,29.8,18.7,5.7,4.95,2.6,0.3,4.2,1.43,4.259,3.972,1.382,2.315,3.674,4.855,5.743,3.913,4.5,8.916,3.255,2.917,4.784,6.398,5.591,4.27,1.952,3.5,3.8,4.5,5.2,5.9,7,Africa
"Inflation, end of period consumer prices",6.573,7.009,7.377,8.313,9.199,10.346,11.576,11.942,12.974,14.365,21.17,26.652,35.101,42.297,54.563,70.823,84.067,88.859,93.258,95.682,95.969,100,102.1,107.78,110.14,111.49,115.77,121.33,127.23,134.55,138.216,145.348,158.48,160.3,168.72,176.08,188.33,197.62,202.96,207.9,218.711,224.179,238.078,244.268,266.985,281.402,Africa
"Inflation, end of period consumer prices",14.143,6.632,5.251,12.695,10.662,12.458,11.891,3.168,8.637,10.718,47.373,25.9,31.7,20.5,29,29.8,18.7,5.7,4.95,2.6,0.3,4.2,2.1,5.563,2.19,1.226,3.839,4.803,4.863,5.753,2.725,5.16,9.035,1.148,5.253,4.362,6.957,4.933,2.702,2.434,5.2,2.5,6.2,2.6,9.3,5.4,Africa
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of imports of goods and services,5.047,--,16.3,-1.7,6.2,5.7,-22,-28.7,3.4,16.8,-9,-17.9,4.6,-6.7,6.1,2,-13.3,2.4,6.5,1.8,7.6,11.2,23.2,-2.911,21.906,6.465,2.886,4.85,7.601,-3.711,3.59,6.365,1.495,-2.434,-0.553,-5.091,-4.113,0.665,1.45,-0.027,-2.681,-0.503,0.766,1.087,1.875,1.759,Africa
Volume of Imports of goods,10.784,11.563,1.253,-1.029,0.093,1.977,-23.611,-23.997,-1.42,23.733,97.622,-21.429,5.959,-5.881,5.274,3.014,-15.93,0.138,7.111,-0.454,26.651,4.383,23.464,-9.136,21.906,6.292,3.689,2.249,5.279,-5.204,3.906,8.64,6.915,-0.81,-0.622,-6.102,-4.831,0.022,0.678,1.758,-2.681,-0.503,0.766,1.087,1.875,1.759,Africa
Volume of exports of goods and services,-14.588,--,0.3,10.2,6.2,2.6,-0.3,6,0.4,8,3.4,-0.594,5.573,2.125,-5.531,5.842,5.633,10.694,1.704,4.471,3.376,-1.181,5.671,7.25,2.358,4.892,-2.995,-1.956,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,3.066,-7.158,-3.636,2.027,-5.859,-0.205,0.009,-0.283,-1.515,Africa
Volume of exports of goods,-2.487,-1.787,-0.458,3.694,3.351,5.163,-13.634,-9.653,-1.245,6.649,6.242,1.143,3.967,1.679,-7.807,6.892,6.736,9.089,2.074,4.94,4.952,-2.225,3.64,7.286,3.447,5.215,-2.344,-2.008,-3.264,-10.312,-2.883,-3.815,-4.004,-6.89,0.474,1.755,7.883,5.728,-6.123,-5.125,-2.5,-5.013,0.32,0.219,-0.067,-1.443,Africa
Unemployment rate,15.789,15.385,15,14.286,16.536,16.901,18.356,20.056,21.801,18.1,19.757,20.263,21.368,23.152,24.362,28.105,27.986,27.961,28.021,29.293,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,14.103,14.301,14.705,15.747,16.872,18.064,Africa
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Population,18.666,19.246,19.864,20.516,21.175,22.2,22.8,23.4,24.1,24.7,25.022,25.643,26.271,26.894,27.496,28.06,28.566,29.045,29.507,29.965,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.578,43.424,44.227,45.024,45.799,46.553,47.286,47.998,Africa
General government revenue,,,,,,,,,,,160.2,272.4,316.8,320.1,434.161,600.847,825.157,926.668,774.511,972.78,1578.159,1479.104,1603.284,1947.437,2215.165,3080.695,3639.905,3725.646,5253.052,3667.483,4462.327,5838.342,6339.339,5957.546,5738.068,5104.736,5011.581,6047.885,6826.881,6586.5,5143.064,5567.473,5976.251,6114.8,6396.816,6871.209,Africa
General government revenue,,,,,,,,,,,28.896,31.596,29.478,26.905,29.189,29.968,32.107,33.331,27.363,29.948,38.272,34.991,35.449,37.078,36.024,40.739,42.814,39.834,47.566,36.792,37.212,40.019,39.109,35.786,33.305,30.544,28.614,32.558,33.698,32.603,28.152,27.77,27.701,26.591,26.04,26.06,Africa
General government total expenditure,,,,,,,,,,,142.54,239.63,308.724,390.484,461.895,589.085,724.609,845.196,875.739,1034.32,1178.122,1321.028,1550.646,1691.354,1891.769,2049.904,2453.014,3108.569,4191.051,4246.334,4466.94,5853.569,7058.173,6024.131,6995.769,7656.331,7297.494,7282.63,7732.07,7725.477,7241.685,7848.195,7959.759,8290.427,8662.158,9136.314,Africa
General government total expenditure,,,,,,,,,,,25.711,27.795,28.727,32.821,31.054,29.381,28.195,30.401,30.939,31.843,28.571,31.251,34.285,32.202,30.765,27.108,28.853,33.236,37.95,42.6,37.251,40.123,43.543,36.186,40.606,45.811,41.665,39.205,38.166,38.241,39.639,39.146,36.896,36.052,35.262,34.651,Africa
General government net lending/borrowing,,,,,,,,,,,17.66,32.77,8.076,-70.384,-27.734,11.762,100.548,81.472,-101.228,-61.54,400.037,158.076,52.638,256.083,323.396,1030.791,1186.891,617.077,1062.001,-578.851,-4.613,-15.227,-718.834,-66.585,-1257.701,-2551.595,-2285.913,-1234.745,-905.189,-1138.977,-2098.621,-2280.723,-1983.507,-2175.627,-2265.342,-2265.105,Africa
General government net lending/borrowing,,,,,,,,,,,3.185,3.801,0.751,-5.916,-1.865,0.587,3.912,2.93,-3.576,-1.895,9.701,3.74,1.164,4.876,5.259,13.631,13.961,6.598,9.616,-5.807,-0.038,-0.104,-4.435,-0.4,-7.3,-15.267,-13.051,-6.647,-4.468,-5.638,-11.487,-11.376,-9.194,-9.461,-9.222,-8.591,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government primary net lending/borrowing,,,,,,,,,,,26.66,48.37,31.176,-43.384,13.354,51.304,177.106,163.147,-37.685,34.25,522.273,245.012,124.589,300.871,316.984,1013.298,1170.155,604.633,1038.119,-627.316,-60.823,-194.721,-860.011,-74.977,-1279.704,-2647.746,-2298.13,-1165.855,-942.848,-1263.335,-2178.831,-2310.232,-1971.847,-1995.767,-1877.899,-1653.224,Africa
General government primary net lending/borrowing,,,,,,,,,,,4.809,5.611,2.901,-3.647,0.898,2.559,6.891,5.868,-1.331,1.054,12.666,5.796,2.755,5.728,5.155,13.4,13.764,6.465,9.4,-6.293,-0.507,-1.335,-5.306,-0.45,-7.428,-15.843,-13.121,-6.276,-4.654,-6.253,-11.926,-11.523,-9.14,-8.679,-7.645,-6.27,Africa
General government net debt,,,,,,,,,,,,671.029,676.259,880.727,1463.245,2329.7,2522.4,1942.11,2062.386,2664.142,2590.105,2044.908,2042.436,1645.303,1442.38,145.223,-921.444,-1952.876,-3918.932,-3951.716,-4041.509,-4534.778,-4705.313,-4913.023,-3753.702,-1272.96,2334.139,4011.958,5155.285,6167.007,9778.385,12837.896,15519.247,18395.806,21398.479,24430.546,Africa
